num,A0,A1,A2,A3,x,y,z,label
31,3355.783784,3955.189189,3531.891892,3870.972973,200,250,88,1
32,3020.153846,3630.871795,3950.666667,4229.282051,200,200,88,1
33,2701.89781,3379.489051,4386.49635,4557.226277,200,150,88,1
34,2431.22905,3178.715084,4811.005587,4955.75419,200,100,88,1
35,2239.93311,3051.73913,5259.665552,5383.67893,200,50,88,1
36,2702.715232,2584.701987,5512.317881,5128.476821,250,50,88,1
37,2893.251534,2716.380368,5045.521472,4705.705521,250,100,88,1
38,3089.253731,2913.358209,4598.283582,4317.910448,250,150,88,1
39,3392.769231,3217.846154,4230.358974,3910.102564,250,200,88,1
40,3720,3565.614035,3851.140351,3521.315789,250,250,88,1
41,4107.124183,3962.614379,3542.352941,3164.901961,250,300,88,1
42,4541.022727,4381.704545,3253.75,2849.090909,250,350,88,1
43,4947.889447,4800.050251,3056.984925,2617.939698,250,400,88,1
44,5369.057971,5231.594203,2898.913043,2478.985507,250,450,88,1
45,5640.909091,4960.779221,3351.363636,1958.116883,300,450,88,1
46,5278.058824,4508.058824,3499.823529,2154,300,400,88,1
47,4863.895349,4085.988372,3656.395349,2428.313953,300,350,88,1
48,4484.913295,3616.011561,3883.757225,2792.312139,300,300,88,1
49,4159.242424,3265.050505,4143.636364,3164.444444,300,250,88,1
50,3823.333333,2902.439024,4487.886179,3679.837398,300,200,88,1
51,3541.171171,2627.207207,4804.864865,4111.351351,300,150,88,1
52,3304.384615,2363.461538,5273.076923,4457.538462,300,100,88,1
53,3170.308642,2242.283951,5746.975309,5019.506173,300,50,88,1
54,3653.464052,1766.601307,6027.45098,4789.019608,350,50,88,1
55,3749.640288,1978.057554,5592.805755,4315.971223,350,100,88,1
56,3933.16129,2261.741935,5203.16129,3848.516129,350,150,88,1
57,4156.845238,2630.119048,4877.321429,3407.142857,350,200,88,1
58,4446.484375,3053.90625,4543.203125,2918.515625,350,250,88,1
59,4765.606061,3485.378788,4283.787879,2463.484848,350,300,88,1
60,5145,3915.774648,3772.605634,2276.760563,350,350,88,1
61,5569.230769,4351.615385,3583.461538,2003,350,400,88,1
62,5936.18705,4808.561151,3533.669065,1838.776978,350,450,88,1
63,6273.614458,4682.710843,4022.409639,1370.903614,400,450,88,1
64,5862.702703,4129.391892,4166.959459,1686.824324,400,400,88,1
65,5522.732558,3714.360465,4345.872093,2007.267442,400,350,88,1
66,5256.090909,3216.636364,4526.090909,2436.636364,400,300,88,1
67,4961.677419,2795.419355,4723.032258,2907.548387,400,250,88,1
68,4645.380711,2368.730964,5018.781726,3480.913706,400,200,88,1
69,4470,1980.650407,5305.609756,3902.357724,400,150,88,1
70,4303.190184,1633.619632,5708.588957,4373.680982,400,100,88,1
71,4142.153846,1349.153846,6053.461538,4884.153846,400,50,88,1
72,4660.787879,1060.242424,6387.878788,4782.181818,450,50,88,1
73,4736.926606,1338.119266,6033.440367,4258.807339,450,100,88,1
74,4894.46281,1783.22314,5709.504132,3809.090909,450,150,88,1
75,5081.237113,2218.350515,5423.402062,3297.938144,450,200,88,1
76,5354.318182,2664.090909,5183.787879,2746.742424,450,250,88,1
77,5609.674797,3208.455285,4907.235772,2227.560976,450,300,88,1
78,5912.631579,3683.508772,4738.157895,1751.929825,450,350,88,1
79,6268.294574,4123.79845,4622.713178,1303.72093,450,400,88,1
80,6685.5,4631.083333,4576,898.9166667,450,450,88,1
81,817.3202614,4784.117647,4388.039216,6450.980392,50,50,130,1
82,1220.753769,4899.497487,3973.567839,6063.919598,50,100,130,1
83,1483.842105,5002.315789,3421.842105,5878.473684,50,150,130,1
84,2661.542056,4986.869159,2924.345794,5622.990654,50,200,130,1
85,2495.897436,5178.888889,2594.358974,5325.641026,50,250,130,1
86,3066.313559,5599.025424,1966.440678,5115.847458,50,300,130,1
87,3651.330049,5979.704433,1406.502463,4659.605911,50,350,130,1
88,4293.913043,6110.76087,992.6086957,4777.01087,50,400,130,1
89,4553.940678,6464.152542,822.1610169,4634.618644,50,450,130,1
90,4601.690141,6304.049296,1016.443662,4115.352113,100,450,130,1
91,4064.827586,5937.413793,1263.908046,4375.45977,100,400,130,1
92,3854.831081,5344.054054,1671.317568,4410.540541,100,350,130,1
93,3125.307018,5145.789474,2145.438596,4542.5,100,300,130,1
94,2928.21256,4897.487923,2581.78744,4711.014493,100,250,130,1
95,2298.52,4530.96,3071.72,5292.72,100,200,130,1
96,1696.5,4561.863636,3602.272727,5563.090909,100,150,130,1
97,1260.032362,4365.533981,4062.038835,5718.252427,100,100,130,1
98,1158.921933,4091.561338,4522.081784,6265.873606,100,50,130,1
99,1512.072072,3651.981982,4827.702703,5702.567568,150,50,130,1
100,1932.105263,3713.245614,4235.701754,5309.692982,150,100,130,1
101,2037.347826,3917,3746.304348,5223.043478,150,150,130,1
102,2596.697248,4047.981651,3293.807339,4725.137615,150,200,130,1
103,2920.343643,4299.690722,3028.694158,4455.395189,150,250,130,1
104,3746.431373,4605.490196,2430.078431,4057.45098,150,300,130,1
105,3779.305019,5045.598456,2210.3861,3668.571429,150,350,130,1
106,4253.173913,5337.782609,1869.869565,3795.086957,150,400,130,1
107,4741.342593,5904.12037,1563.333333,3568.148148,150,450,130,1
108,4898.110599,5579.447005,2029.677419,3087.004608,200,450,130,1
109,4445.854922,5192.642487,2209.792746,3276.062176,200,400,130,1
110,3982.5,4807.19697,2514.469697,3459.962121,200,350,130,1
111,3622.053571,4451.383929,2808.482143,3731.830357,200,300,130,1
112,3247.544379,3972.071006,3188.550296,3852.869822,200,250,130,1
113,2836.627907,3569.147287,3579.341085,4363.372093,200,200,130,1
114,2442.982456,3433.77193,4182.163743,4556.812865,200,150,130,1
115,2402.140468,3138.695652,4464.983278,5196.454849,200,100,130,1
116,1969.612403,3129.302326,4966.899225,5711.046512,200,50,130,1
117,2671.575758,2626.30303,5202.484848,5122.424242,250,50,130,1
118,2595.213675,2896.324786,4679.188034,4956.538462,250,100,130,1
119,2991.858974,2849.807692,4289.74359,4578.461538,250,150,130,1
120,3439.837398,3122.357724,4224.918699,3828.00813,250,200,130,1
121,3674.611399,3570.518135,3522.124352,3390.725389,250,250,130,1
122,3863.772727,4020.636364,3171.5,3342.954545,250,300,130,1
123,4230.458333,4234.625,3185.791667,3015.041667,250,350,130,1
124,4908.894737,4659.578947,2693.578947,2817.210526,250,400,130,1
125,5139.444444,5351.166667,2808.444444,2447.333333,250,450,130,1
126,5342.606383,5106.382979,3279.148936,1897.393617,300,450,130,1
127,4961.209302,4524.697674,3164.883721,2243.906977,300,400,130,1
128,4564.049587,3986.983471,3475.413223,2480.123967,300,350,130,1
129,4281.098039,3547.647059,3769.764706,2706.509804,300,300,130,1
130,3814.528302,3394.528302,4132.688679,3104.292453,300,250,130,1
131,3546.538462,2839.102564,4218.589744,3632.948718,300,200,130,1
132,3312.545455,2428.227273,5024.227273,4202.136364,300,150,130,1
133,3197.038627,2150.343348,5361.330472,4392.060086,300,100,130,1
134,3108.071066,2164.314721,5433.553299,4826.852792,300,50,130,1
135,3476.737288,1706.440678,5783.601695,4937.669492,350,50,130,1
136,3584.210526,1737.315789,5504.105263,4630.421053,350,100,130,1
137,3850.676692,2067.894737,4940.075188,4023.609023,350,150,130,1
138,3968.214286,2619.540816,4791.938776,3274.234694,350,200,130,1
139,4243.716475,3073.94636,4281.226054,3028.16092,350,250,130,1
140,4546,3282.904762,4174.952381,2594.333333,350,300,130,1
141,5214.846154,3720.192308,4144.076923,1982.576923,350,350,130,1
142,5285.4,4441.95,3633.85,1885.55,350,400,130,1
143,5629.52381,4670.039683,3619.920635,1572.97619,350,450,130,1
144,5943.140097,4793.574879,4273.381643,1016.570048,400,450,130,1
145,5563.82199,4302.408377,4345.445026,1320.157068,400,400,130,1
146,5309.735683,3579.559471,4424.757709,1721.629956,400,350,130,1
147,4855.427136,3220.954774,4563.718593,2178.743719,400,300,130,1
148,4686.401274,2586.019108,4689.681529,3138.057325,400,250,130,1
149,4332.694301,2413.989637,5216.26943,3186.062176,400,200,130,1
150,4119.748954,1871.380753,5294.60251,3857.48954,400,150,130,1
151,4014.157303,1561.179775,5702.977528,4386.853933,400,100,130,1
152,3888.818182,1332.090909,6214.318182,4590.045455,400,50,130,1
153,4595.015873,732.0634921,6393.047619,4682.507937,450,50,130,1
154,4493.524229,1330.660793,5986.696035,4152.511013,450,100,130,1
155,4638.932584,1831.629213,5936.067416,3471.179775,450,150,130,1
156,5116.920152,2627.528517,5346.425856,2953.460076,450,200,130,1
157,5223.083004,2584.268775,5939.960474,2414.189723,450,250,130,1
158,5334.761905,3195.198413,4841.626984,2032.18254,450,300,130,1
159,5635.551471,3585.992647,4992.389706,1506.764706,450,350,130,1
160,6294.513274,4236.681416,4549.026549,905.7079646,450,400,130,1
161,6526.666667,4563.52381,4766.904762,571.7142857,450,450,130,1
162,725.6928839,4520.636704,4833.932584,6388.501873,50,50,170,1
163,1043.894737,4797.631579,4251.210526,6037.894737,50,100,170,1
164,1449.923372,4910.881226,3534.061303,6041.072797,50,150,170,1
165,2057.114428,5025.422886,3003.283582,5421.393035,50,200,170,1
166,2435.615764,5320.689655,2763.054187,5122.70936,50,250,170,1
167,2978.558559,5613.783784,1948.558559,5176.531532,50,300,170,1
168,3590.883534,5882.248996,1443.212851,4740.281124,50,350,170,1
169,3926.0181,6152.895928,967.918552,4833.21267,50,400,170,1
170,4417.874396,6326.183575,765.942029,4692.36715,50,450,170,1
171,4538.882979,6246.382979,1277.446809,3998.138298,100,450,170,1
172,4096.835443,5761.85654,1593.71308,4084.303797,100,400,170,1
173,3715.570776,5263.744292,1703.287671,4531.552511,100,350,170,1
174,3404.307116,4935.318352,2388.913858,4433.520599,100,300,170,1
175,2605.178571,4636.116071,2881.696429,4924.955357,100,250,170,1
176,2130.585586,4684.54955,3097.657658,5108.063063,100,200,170,1
177,1848.899522,4376.124402,3596.45933,5319.569378,100,150,170,1
178,1492.395437,4092.243346,4164.828897,5848.250951,100,100,170,1
179,1071.33829,4089.516729,4804.200743,6006.6171,100,50,170,1
180,1648.875,3708.583333,4761.25,5722.375,150,50,170,1
181,1733.8,3707.45,4188.5,5496.5,150,100,170,1
182,2061.061224,3793.510204,3929.102041,5129.632653,150,150,170,1
183,2673.596838,4046.126482,3578.774704,4699.209486,150,200,170,1
184,2894.70852,4579.372197,3089.686099,4293.049327,150,250,170,1
185,3481.344086,4645.268817,2367.956989,4219.193548,150,300,170,1
186,3814.126214,5196.116505,1994.854369,4029.854369,150,350,170,1
187,4278.810811,5368.216216,1895.243243,3892.378378,150,400,170,1
188,4721.152263,6097.942387,1444.36214,3735.26749,150,450,170,1
189,5156.208333,5757.625,1939.208333,3044.375,200,450,170,1
190,4452.731959,5227.268041,2355.103093,3190.927835,200,400,170,1
191,3945.91133,4716.256158,2553.20197,3365.418719,200,350,170,1
192,3891.957447,4378.93617,2770.93617,3609.574468,200,300,170,1
193,3066.634615,4133.237179,3146.698718,4088.910256,200,250,170,1
194,2749.479167,3799.21875,3812.708333,4253.385417,200,200,170,1
195,2695.151515,3302.979798,4213.989899,4600.808081,200,150,170,1
196,2165.572139,3261.641791,4698.109453,5037.61194,200,100,170,1
197,2029.567308,3264.423077,4954.375,5632.788462,200,50,170,1
198,2552.804878,2751.219512,5432.682927,5111.463415,250,50,170,1
199,2646.206897,2655.249042,5127.624521,4861.494253,250,100,170,1
200,2878.990826,2959.036697,4245.045872,4558.256881,250,150,170,1
201,3158.531073,3381.073446,4119.548023,3858.813559,250,200,170,1
202,3628.47619,3435.142857,3506.666667,3627.238095,250,250,170,1
203,3954.6875,3941.302083,3386.09375,3094.114583,250,300,170,1
204,4479.677419,4517.327189,2844.792627,2867.64977,250,350,170,1
205,4730.803859,4879.228296,2608.038585,2883.729904,250,400,170,1
206,5206.346154,5404.679487,2738.012821,2511.538462,250,450,170,1
207,5492.021858,5255.464481,3204.808743,2006.775956,300,450,170,1
208,5048.660714,4722.901786,3264.6875,2174.285714,300,400,170,1
209,4841.762295,3975.942623,3325.819672,2680.327869,300,350,170,1
210,4432.991071,3562.991071,3691.5625,2723.482143,300,300,170,1
211,3871.851852,3174.861111,4004.907407,3287.268519,300,250,170,1
212,3581.507937,3158.888889,4136.865079,3742.97619,300,200,170,1
213,3715.731707,2657.642276,4596.300813,4072.845528,300,150,170,1
214,3063,2402.086957,5248.347826,4493.130435,300,100,170,1
215,3216.425121,2071.690821,5414.589372,5056.763285,300,50,170,1
216,3560.681818,1702.386364,5952.045455,4703.238636,350,50,170,1
217,3690.478723,2007.553191,5224.148936,4458.670213,350,100,170,1
218,3852.489796,2313.877551,4858.44898,3990.44898,350,150,170,1
219,4310.178571,2846.651786,4514.464286,3302.8125,350,200,170,1
220,4363.802817,3288.685446,4432.910798,2851.549296,350,250,170,1
221,4953.457447,3333.989362,3897.074468,2657.12766,350,300,170,1
222,5167.692308,4034.820513,3750.307692,2054.461538,350,350,170,1
223,5416.696833,4550.452489,3519.909502,2095.972851,350,400,170,1
224,5825.409836,5032.622951,3428.415301,1756.721311,350,450,170,1
225,6131.102041,4796.244898,4002.040816,1322.408163,400,450,170,1
226,5760.137615,4201.192661,4231.582569,1351.62844,400,400,170,1
227,5715.17094,3577.136752,4214.102564,1943.547009,400,350,170,1
228,5060.229358,3337.247706,4402.568807,2462.06422,400,300,170,1
229,4762.536232,2599.963768,4777.681159,2831.811594,400,250,170,1
230,4525.660377,2325.613208,4931.981132,3299.716981,400,200,170,1
231,4489.031008,2027.209302,5289.263566,3709.96124,400,150,170,1
232,4165.582524,1568.349515,5763.106796,4107.23301,400,100,170,1
233,4073.647059,1269.647059,6043.941176,4892,400,50,170,1
234,4616.064815,827.3611111,6607.12963,4560.138889,450,50,170,1
235,4641.875,1244.0625,6258.828125,4061.875,450,100,170,1
236,4823.930348,1429.751244,5835.820896,3701.094527,450,150,170,1
237,5301.764706,1870,5601.44385,3065.187166,450,200,170,1
238,5260.44335,2657.73399,5380.640394,2517.142857,450,250,170,1
239,5850.899654,2948.615917,4915.432526,2265.432526,450,300,170,1
240,6025.251397,3487.653631,4900.111732,1492.960894,450,350,170,1
241,6192.474747,4255.20202,4817.121212,1004.292929,450,400,170,1
242,6546.121495,4638.738318,4462.803738,869.2523364,450,450,170,1
243,1065.529412,4794.54902,4521.137255,6464.470588,50,50,200,1
244,1221.782946,4838.604651,4211.434109,6109.186047,50,100,200,1
245,1720.39548,4716.779661,3593.050847,6173.502825,50,150,200,1
246,2179.322034,5146.384181,3064.237288,5438.813559,50,200,200,1
247,2549.790795,5416.65272,2564.644351,5498.74477,50,250,200,1
248,3054.205607,5394.906542,2295.140187,5239.53271,50,300,200,1
249,3553.658537,5952.134146,1772.682927,4717.256098,50,350,200,1
250,4079.802956,6305.320197,1370.049261,4629.753695,50,400,200,1
251,4561.734104,6630.17341,890.7514451,4483.121387,50,450,200,1
252,4649.819277,6074.156627,1312.710843,4212.590361,100,450,200,1
253,4188.387097,5701.88172,1555.591398,4204.946237,100,400,200,1
254,3767.54717,5612.169811,1741.981132,4334.433962,100,350,200,1
255,3391.122995,5347.165775,2165.775401,4500.909091,100,300,200,1
256,2816,4958.177778,2850.044444,4760.488889,100,250,200,1
257,2342.324324,4775.459459,3314.162162,5056.594595,100,200,200,1
258,2191.465969,4431.832461,3576.544503,5413.089005,100,150,200,1
259,1567.272727,4347.272727,4070.802139,5964.385027,100,100,200,1
260,1286.092715,4369.006623,4547.880795,6359.933775,100,50,200,1
261,1807.18894,3617.603687,5020.829493,5783.364055,150,50,200,1
262,1865.905172,3955.431034,4465.517241,5451.37931,150,100,200,1
263,2198.186275,3880.588235,4229.068627,5193.333333,150,150,200,1
264,2557.68559,4434.672489,3287.467249,4788.733624,150,200,200,1
265,3174.090909,4472.424242,2840.707071,4406.363636,150,250,200,1
266,3441.538462,4797.128205,2685.076923,4086.358974,150,300,200,1
267,3979.548023,5004.350282,1979.491525,4230.960452,150,350,200,1
268,4503.080357,5573.035714,1654.553571,3685.535714,150,400,200,1
269,4819.775785,5920.627803,1402.017937,3862.017937,150,450,200,1
270,5014.915254,5439.830508,2062.99435,3292.655367,200,450,200,1
271,4697.351351,5020.216216,2336,3200.324324,200,400,200,1
272,4104.405941,4824.059406,2677.079208,3375.247525,200,350,200,1
273,3863.542601,4243.318386,2754.573991,3974.304933,200,300,200,1
274,3230.680628,4150,3146.282723,4167.591623,200,250,200,1
275,2873.621622,3586.162162,3800.648649,4633.135135,200,200,200,1
276,2562.290749,3593.876652,4011.894273,5026.828194,200,150,200,1
277,2537.688889,3577.733333,4513.6,5114.222222,200,100,200,1
278,2163.502538,3228.832487,5259.949239,5536.700508,200,50,200,1
279,2641.484375,2744.296875,5150.625,5402.65625,250,50,200,1
280,2722.849162,2658.324022,5088.49162,5094.748603,250,100,200,1
281,3231.826923,2839.182692,4591.057692,4450.625,250,150,200,1
282,3309.308756,3432.949309,4085.115207,3998.571429,250,200,200,1
283,3825.829384,3465.63981,3548.009479,3762.843602,250,250,200,1
284,4254.726368,3853.432836,3567.910448,3238.358209,250,300,200,1
285,4378.556701,4207.525773,3060.859107,3199.621993,250,350,200,1
286,4799.489796,4930.816327,2639.94898,2918.367347,250,400,200,1
287,5484.698276,5348.87931,2525,2545,250,450,200,1
288,5494.855769,5065.048077,3253.173077,2101.682692,300,450,200,1
289,5089.829545,4631.193182,3125.965909,2549.488636,300,400,200,1
290,4680.246914,4215.864198,3589.012346,2565,300,350,200,1
291,4333.773585,3999.528302,3580.283019,3158.490566,300,300,200,1
292,4041.42132,3158.527919,4006.598985,3473.19797,300,250,200,1
293,3853.009709,2767.281553,4641.213592,3621.893204,300,200,200,1
294,3485.065502,2603.362445,4795.196507,4120.480349,300,150,200,1
295,3648.4375,2155.234375,5024.804688,4745.742188,300,100,200,1
296,3194.325581,1983.953488,5729.209302,5217.116279,300,50,200,1
297,3717.701863,1716.832298,5752.795031,5013.913043,350,50,200,1
298,3770.192308,1920.038462,5306.576923,4404.807692,350,100,200,1
299,4209.446809,2266.12766,4983.957447,3874.723404,350,150,200,1
300,4172.125604,2648.405797,4912.850242,3411.207729,350,200,200,1
301,4551.153846,2857.649573,4304.487179,3163.034188,350,250,200,1
302,4704.418605,3554.709302,4274.244186,2528.081395,350,300,200,1
303,5080.324074,3892.777778,3787.592593,2356.898148,350,350,200,1
304,5431.826923,4474.182692,3866.971154,1841.394231,350,400,200,1
305,5933.839286,4716.25,3627.901786,1583.616071,350,450,200,1
306,6155.793358,4708.487085,4134.833948,1153.616236,400,450,200,1
307,5889.07767,4079.660194,4105.92233,1719.708738,400,400,200,1
308,5634.210526,3599.760766,4374.401914,1780.526316,400,350,200,1
309,5124.719626,3150.46729,4653.130841,2405.934579,400,300,200,1
310,4873.381643,2877.536232,4658.550725,2957.101449,400,250,200,1
311,4791.650943,2352.028302,4961.462264,3136.698113,400,200,200,1
312,4427.125,2059.5,5518.25,3686.916667,400,150,200,1
313,4317.278107,1567.692308,5928.461538,4122.307692,400,100,200,1
314,4217.972973,1333.153153,6018.513514,4652.972973,400,50,200,1
315,4627.894737,1020,6338.218623,4574.8583,450,50,200,1
316,4719.954751,1069.728507,6120.633484,4235.656109,450,100,200,1
317,5118.091286,1540.995851,5901.120332,3544.39834,450,150,200,1
318,5108.078603,2228.733624,5659.432314,3018.864629,450,200,200,1
319,5330.25,2773.3125,5378.6875,2554.875,450,250,200,1
320,5757.59434,3045.04717,5087.358491,2034.245283,450,300,200,1
321,5829.126214,3499.514563,4824.07767,1798.543689,450,350,200,1
322,6202.682927,4098.97561,4572.878049,1307.804878,450,400,200,1
323,6707.976654,4687.159533,4494.59144,831.9844358,450,450,200,1
324,764.137931,4547.816092,4555.057471,6298.045977,50,50,88,0
325,1098.541667,4675,4108.4375,5944.166667,50,100,88,0
326,1568.390805,4762.758621,3606.436782,5618.505747,50,150,88,0
327,2008.590604,4974.228188,3085.503356,5323.355705,50,200,88,0
328,2487.515924,5121.528662,2600.700637,5033.566879,50,250,88,0
329,2968.376623,5422.987013,2149.220779,4832.922078,50,300,88,0
330,3526.369048,5707.321429,1700.178571,4634.821429,50,350,88,0
331,4007.228916,6074.036145,1286.807229,4486.024096,50,400,88,0
332,4496.261682,6400.560748,1019.345794,4404.11215,50,450,88,0
333,4586.595745,5994.148936,1295.744681,3960.957447,100,450,88,0
334,4102.040816,5666.802721,1568.163265,3976.122449,100,400,88,0
335,3610.699301,5334.055944,1881.748252,4142.097902,100,350,88,0
336,3107.741935,5017.741935,2298.387097,4344.946237,100,300,88,0
337,2624.285714,4703.896104,2773.116883,4612.857143,100,250,88,0
338,2126.022727,4497.045455,3241.363636,4925.454545,100,200,88,0
339,1763.302752,4309.908257,3763.027523,5222.018349,100,150,88,0
340,1345,4153.051948,4207.337662,5590.714286,100,100,88,0
341,1134.186047,4047.790698,4657.965116,5969.593023,100,50,88,0
342,1540,3570.333333,4816.583333,5618.666667,150,50,88,0
343,1793.636364,3647.878788,4353.434343,5242.121212,150,100,88,0
344,2079.824561,3819.912281,3909.210526,4866.052632,150,150,88,0
345,2437.121212,4054.848485,3463.333333,4537.272727,150,200,88,0
346,2819.888889,4319.666667,3014.555556,4208.777778,150,250,88,0
347,3280.120482,4659.879518,2599.036145,3859.277108,150,300,88,0
348,3717.894737,4991.473684,2259.684211,3720.105263,150,350,88,0
349,4232.830189,5407.641509,1932.641509,3587.54717,150,400,88,0
350,4693.027523,5731.376147,1753.486239,3451.651376,150,450,88,0
351,4848.660714,5458.214286,2177.053571,2956.875,200,450,88,0
352,4423.857143,5091.285714,2364.428571,3109.571429,200,400,88,0
353,4018.588235,4692.352941,2633.058824,3284.941176,200,350,88,0
354,3551.858407,4306.371681,2906.548673,3553.716814,200,300,88,0
355,3109.53125,3954.609375,3289.296875,3871.484375,200,250,88,0
356,2788.269231,3631.730769,3693.75,4229.326923,200,200,88,0
357,2470.78125,3380,4127.1875,4557.8125,200,150,88,0
358,2200.423729,3178.559322,4556.694915,4955.677966,200,100,88,0
359,2002.022472,3050.393258,5007.977528,5383.314607,200,50,88,0
360,2454.262295,2585.163934,5275.901639,5128.606557,250,50,88,0
361,2659.099099,2714.954955,4791.981982,4705.675676,250,100,88,0
362,2855.949367,2912.78481,4342.278481,4316.455696,250,150,88,0
363,3156.413793,3216.965517,3982.068966,3909.931034,250,200,88,0
364,3502.769231,3564.769231,3580.769231,3521.384615,250,250,88,0
365,3876.26087,3962.782609,3286,3166,250,300,88,0
366,4297.04,4381.92,3012.8,2848.88,250,350,88,0
367,4711.156463,4799.795918,2809.047619,2613.537415,250,400,88,0
368,5138.461538,5232.115385,2639.903846,2478.846154,250,450,88,0
369,5386.451613,4961.129032,3119.83871,1957.177419,300,450,88,0
370,5030.446429,4508.75,3258.392857,2152.946429,300,400,88,0
371,4614.736842,4085.877193,3416.929825,2421.315789,300,350,88,0
372,4234.392523,3615.700935,3646.82243,2792.149533,300,300,88,0
373,3914.806202,3265.503876,3900.930233,3164.341085,300,250,88,0
374,3573.478261,2902.463768,4248.84058,3679.130435,300,200,88,0
375,3284.918033,2627.04918,4574.262295,4111.803279,300,150,88,0
376,3068.095238,2364.642857,5022.5,4458.571429,300,100,88,0
377,2938.181818,2242.424242,5490.833333,5019.848485,300,50,88,0
378,3418.560606,1766.363636,5778.712121,4789.015152,350,50,88,0
379,3516.747967,1978.292683,5338.780488,4315.853659,350,100,88,0
380,3712.959184,2260.306122,4937.346939,3847.244898,350,150,88,0
381,3917.676768,2629.59596,4633.434343,3407.474747,350,200,88,0
382,4214.186047,3053.023256,4286.395349,2918.372093,350,250,88,0
383,4517.378641,3485.631068,4042.912621,2463.106796,350,300,88,0
384,4891.414141,3914.949495,3772.424242,2039.69697,350,350,88,0
385,5306.395349,4351.744186,3583.372093,1776.395349,350,400,88,0
386,5701.818182,4809.431818,3533.295455,1585.681818,350,450,88,0
387,6044.126984,4682.460317,4021.666667,1111.984127,400,450,88,0
388,5620.373832,4129.626168,4166.35514,1444.579439,400,400,88,0
389,5275.652174,3712.347826,4345.391304,1755.826087,400,350,88,0
390,5002.142857,3216.071429,4526.547619,2200.714286,400,300,88,0
391,4723.163265,2795.306122,4723.163265,2658.77551,400,250,88,0
392,4408.220339,2368.728814,5018.559322,3229.576271,400,200,88,0
393,4209.684211,1980.526316,5305.052632,3670.421053,400,150,88,0
394,4072,1633.181818,5709.181818,4115.090909,400,100,88,0
395,3909.021739,1348.043478,6053.152174,4627.608696,400,50,88,0
396,4416.333333,1060.666667,6388.333333,4540.5,450,50,88,0
397,4504.4,1338.533333,6033.866667,4002.066667,450,100,88,0
398,4643.666667,1783,5709.888889,3572.111111,450,150,88,0
399,4834.035088,2218.245614,5423.859649,3058.245614,450,200,88,0
400,5087.260274,2664.246575,5183.287671,2526.712329,450,250,88,0
401,5367.777778,3208.641975,4906.17284,1982.345679,450,300,88,0
402,5672.57732,3683.402062,4737.835052,1501.237113,450,350,88,0
403,6034,4123.263158,4622.842105,1050.315789,450,400,88,0
404,6428.815789,4630.657895,4575.921053,665.5263158,450,450,88,0
405,852.1008403,4578.235294,4388.403361,6455.462185,50,50,130,0
406,1005,4648.098592,3974.295775,6064.43662,50,100,130,0
407,1484.444444,4747.847222,3421.875,5645.416667,50,150,130,0
408,2032.028302,4978.396226,2910.849057,5382.830189,50,200,130,0
409,2513.928571,5185.357143,2420,5075.357143,50,250,130,0
410,3058.791946,5460.738255,1960.671141,4892.416107,50,300,130,0
411,3530.13245,5781.059603,1412.582781,4668.741722,50,350,130,0
412,4036.666667,6110.20202,992.4242424,4545.757576,50,400,130,0
413,4550.747126,6466.666667,671.954023,4483.16092,50,450,130,0
